,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
76,Chinese,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCHNSE1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1013
77,Circular Economy,No Program Code,"MSc, PgCert, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCEYOS1F,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1091
78,Circular Economy (Online Learning),No Program Code,"MSc, PgCert, PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCEYOL1F,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1090
79,Classical Art and Archaeology,PTMSCCARTA1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCARTA1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",141
80,Classics,PTMSCCLSCS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCLSCS1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",140
81,Classics,PRPHDCLSCS1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCLSCS1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",156
82,Classics,PRMSCCLSCS1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCCLSCS1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",865
83,Climate Change Finance and Investment,PTMSCCLCFI1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCLCFI1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£23,600', 'Rest of UK': '£23,600', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",671
84,Clinical Anatomy,PTMSCCLINA1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCLINA1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",1000
85,Clinical and Health Psychology,PRPHDCLIPC1F,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCLIPC1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",397
86,Clinical Animal Behaviour (Online Learning),PTMSCCLANB1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCLANB1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,911
87,Clinical Brain Sciences,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCLBRS1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",235
88,Clinical Education,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCLIED1F,Edinburgh Medical School: Medicine,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",861
89,Clinical Education (Online Learning),PTMSCCLINE1P,"MSc, PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCLINE1P,Edinburgh Medical School: Medicine,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£5,700', 'Additional Programme Costs': ''}",246
90,Clinical Management of Pain (Online Learning),PTMSCCLMAP1P,"MSc, PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCLMAP1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£5,700', 'Additional Programme Costs': '£0'}",820
91,Clinical Microbiology and Infectious Diseases (Online Learning),PTMSCCLMID2U,"MSc, PgDip (ICL), PgCert (ICL), PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCLMID2U,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,Not applicable,891
92,Clinical Ophthalmology (Online Learning),PTCHMCLOPH1P,ChM (Clinical Ophthalmology),Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTCHMCLOPH1P,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£7,600', 'Additional Programme Costs': '£0'}",860
93,Clinical Psychology,No Program Code,DClinPsychol,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=136,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,136
94,Clinical Trials (Online Learning),PTMSCCLITR1U,"MSc, PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCLITR1U,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': '£0'}",809
95,Clinical Veterinary Sciences,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCLVES1F,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",826
96,Cognitive Science,PTMSCCOGSC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCOGSC1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",108
97,Collections and Curating Practices,PRMSCCOCUP1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCCOCUP1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",921
98,Commercial Law,PTLLMCOMLA1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMCOMLA1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",161
99,Comparative and European Private Law,PTLLMCOMEP1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMCOMEP1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",684
100,Comparative Education and International Development (CEID),PTMSCCEIDE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCEIDE1F,Education and Sport (Moray House),"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1045
101,Comparative Literature,PTMSCCOMPL1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCOMPL1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",173
102,Comparative Literature,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCOMLT1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",252
103,Comparative Public Policy,PTMSCCOMPP1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCOMPP1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",301
104,Composition ,PTMUSCMPST1F,MMus,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMUSCMPST1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1095
105,Computational Applied Mathematics,PTMSCCOMAM1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCOMAM1F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£12,500', 'Rest of UK': '£12,500', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",935
106,Computational Mathematical Finance,PTMSCCOMAF1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCOMAF1F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£30,800', 'Rest of UK': '£30,800', 'International/EU': '£35,900', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",894
107,Computer Science,PTMSCCMPSI1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCMPSI1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",110
108,Condensed Matter,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDPHYSI1F,Physics & Astronomy,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",190
109,Conservation Medicine (Online Learning),PTMVSCONME2P,"MVetSci, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMVSCONME2P,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,786
110,Contemporary Art Practice,PTMARTCOAP1F,MA (eca),Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMARTCOAP1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",747
111,Contemporary Art Theory,PTMARTCONT1F,MA (eca),Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMARTCONT1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",748
112,Contemporary History,PTMSCCOHIS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCOHIS1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",776
113,Corporate Law,PTLLMCORPL1F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMCORPL1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",787
114,Counselling,PTMCOCOUNS1P,"MCouns, PgCert, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMCOCOUNS1P,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,130
115,Counselling (Interpersonal Dialogue),PTMCOCOUIP1F,MCouns,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMCOCOUIP1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£22,650', 'Rest of UK': '£22,650', 'International/EU': '£24,750', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",520
116,Counselling Studies,PTMSCCOUST1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCOUST1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",131
117,Counselling Studies,PRPHDCOUST1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCOUST1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",330
118,Counselling Studies,PRMSCCOUST1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCCOUST1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",383
119,Creative Industries,PTMSCCRIND1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCRIND1F,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1058
120,Creative Music Practice,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCRMUS1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",630
121,Creative Writing,PTMSCCRWRI1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCRWRI1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",175
